county,population,total_offender_count,total_offender_count_homeless,total_offender_count_non_incarcerated,total_offender_count_civilly_comitted,total_offender_count_incarcerated,per_capita_all,per_capita_homeless,per_capita_non_incarcerated,per_capita_civilly_comitted,per_capita_incarcerated
Fairfax County,1175173,980,5,908,1,71,0.0008339197718123203,4.254692713328165e-06,0.0007726521967403948,8.50938542665633e-07,6.041663652925995e-05
Prince William County,502428,731,14,692,0,39,0.001454934836434275,2.786468906987668e-05,0.001377311774025333,0.0,7.762306240894218e-05
Virginia Beach city,455837,926,23,849,0,77,0.0020314279007627727,5.0456632524345326e-05,0.0018625078701377904,0.0,0.00016892003062498218
Loudoun County,449596,383,2,322,0,61,0.0008518759063692738,4.448438153364354e-06,0.000716198542691661,0.0,0.0001356773636776128
Chesterfield County,394893,661,6,627,0,34,0.0016738711499064303,1.5193989257849594e-05,0.0015877718774452826,0.0,8.609927246114771e-05
Henrico County,341663,951,5,887,0,64,0.0027834445052581053,1.4634303392524212e-05,0.0025961254218337952,0.0,0.0001873190834243099
Chesapeake city,256027,840,13,785,0,55,0.003280903967159714,5.077589472985271e-05,0.003066082874071875,0.0,0.0002148210930878384
Arlington County,244433,166,0,130,0,36,0.0006791227043811596,0.0,0.0005318430817442816,0.0,0.000147279622636878
Richmond city,236927,7219,16,1005,0,6214,0.030469300670670715,6.753134931856648e-05,0.0042418128790724565,0.0,0.026227487791598256
Norfolk city,230832,1021,24,953,0,68,0.004423130241907535,0.0001039717196922437,0.004128543702779511,0.0,0.00029458653912802386
Newport News city,182863,849,12,797,0,52,0.004642820034670764,6.562289801654791e-05,0.004358454143265723,0.0,0.00028436589140504095
Stafford County,172017,399,0,234,0,165,0.0023195381851793717,0.0,0.0013603306649924134,0.0,0.0009592075201869583
Alexandria city,161933,153,7,133,0,20,0.0009448352096237333,4.3227754688667534e-05,0.0008213273390846831,0.0,0.0001235078705390501
Spotsylvania County,154428,339,1,318,0,21,0.0021951977620638745,6.475509622607299e-06,0.0020592120599891212,0.0,0.0001359857020747533
Hampton city,138035,599,12,572,0,27,0.004339479117615098,8.693447314087008e-05,0.00414387655304814,0.0,0.00019560256456695765
Albemarle County,118769,200,2,178,0,22,0.001683941095740471,1.683941095740471e-05,0.0014987075752090193,0.0,0.0001852335205314518
Hanover County,116425,383,3,329,0,54,0.003289671462314795,2.5767661584711188e-05,0.0028258535537899936,0.0,0.0004638179085248014
Suffolk city,105160,419,4,345,0,74,0.00398440471662229,3.803727653100038e-05,0.003280715100798783,0.0,0.0007036896158235071
Frederick County,100040,267,2,240,0,27,0.002668932427029188,1.9992003198720512e-05,0.0023990403838464614,0.0,0.0002698920431827269
Montgomery County,98862,225,1,211,0,14,0.002275899739030163,1.011510995124517e-05,0.002134288199712731,0.0,0.00014161153931743238
Roanoke city,98321,673,0,620,0,53,0.006844926312791774,0.0,0.006305875652200445,0.0,0.0005390506605913284
Roanoke County,97405,305,1,252,0,53,0.003131256095682973,1.0266413428468765e-05,0.0025871361839741288,0.0,0.0005441199117088445
Portsmouth city,96182,533,4,502,0,31,0.00554157742612963,4.15878230854006e-05,0.005219271797217775,0.0,0.0003223056289118546
Rockingham County,88718,233,1,213,0,20,0.00262629905994274,1.1271669785161974e-05,0.0024008656642395005,0.0,0.00022543339570323947
James City County,83248,188,0,157,1,30,0.0022583125120123008,0.0,0.0018859311935421872,1.2012300595810109e-05,0.0003603690178743033
Bedford County,82736,259,0,245,0,14,0.0031304389866563527,0.0,0.002961226068458712,0.0,0.0001692129181976407
Lynchburg city,80827,377,2,337,0,40,0.004664282974748537,2.4744206762591707e-05,0.0041693988394967026,0.0,0.0004948841352518342
Augusta County,78994,324,6,279,1,44,0.004101577334987468,7.595513583310125e-05,0.003531913816239208,1.2659189305516875e-05,0.0005570043294427424
Fauquier County,76474,163,1,159,0,4,0.002131443366372885,1.3076339670999295e-05,0.0020791380076888876,0.0,5.230535868399718e-05
York County,71774,109,0,106,0,3,0.0015186557806448017,0.0,0.0014768579151224676,0.0,4.179786552233399e-05
Pittsylvania County,59239,194,0,185,0,9,0.0032748695960431473,0.0,0.003122942656020527,0.0,0.00015192694002262025
Culpeper County,57185,175,2,153,0,22,0.0030602430707353328,3.4974206522689515e-05,0.002675526798985748,0.0,0.0003847162717495847
Franklin County,55803,182,0,176,0,6,0.00326147339748759,0.0,0.003153952296471516,0.0,0.0001075211010160744
Campbell County,55436,202,0,192,0,10,0.0036438415470091638,0.0,0.0034634533516126704,0.0,0.00018038819539649325
Washington County,54168,225,3,182,0,43,0.004153743907842269,5.538325210456358e-05,0.003359917294343524,0.0,0.0007938266134987446
Harrisonburg city,50950,171,0,143,0,28,0.003356231599607458,0.0,0.0028066732090284595,0.0,0.0005495583905789991
Henry County,49134,193,0,184,0,9,0.0039280335409288885,0.0,0.003744860992388163,0.0,0.00018317254854072538
Shenandoah County,45697,153,0,145,0,8,0.0033481410158216077,0.0,0.0031730748189159027,0.0,0.00017506619690570496
Charlottesville city,44487,143,5,126,0,17,0.0032144221907523546,0.00011239238429204037,0.0028322880841594174,0.0,0.0003821341065929373
Manassas city,44145,116,4,78,0,38,0.0026277041567561443,9.061048816400499e-05,0.0017669045191980972,0.0,0.0008607996375580474
Prince George County,44130,183,1,120,0,63,0.004146838885112168,2.2660321776569226e-05,0.002719238613188307,0.0,0.0014276002719238613
Louisa County,43210,144,0,133,0,11,0.00333256190696598,0.0,0.003077991205739412,0.0,0.00025457070122656794
Warren County,42940,158,4,131,0,27,0.00367955286446204,9.315323707498835e-05,0.0030507685142058686,0.0,0.0006287843502561714
Danville city,41878,197,1,186,0,11,0.004704140598882468,2.3878886288743494e-05,0.00444147284970629,0.0,0.0002626677491761784
Isle of Wight County,41217,146,0,141,0,5,0.0035422277215711962,0.0,0.0034209185530242377,0.0,0.00012130916854695878
Gloucester County,40284,103,4,102,0,1,0.0025568463906265513,9.92950054612253e-05,0.002532022639261245,0.0,2.4823751365306323e-05
Orange County,39485,172,0,116,0,56,0.004356084589084462,0.0,0.002937824490312777,0.0,0.0014182600987716855
Tazewell County,38528,198,0,187,0,11,0.0051391196013289035,0.0,0.004853612956810631,0.0,0.00028550664451827245
Petersburg city,34788,279,0,259,2,18,0.008020006898930666,0.0,0.007445096010118431,5.749108888122341e-05,0.0005174197999310107
Wise County,34755,119,0,115,0,4,0.0034239677744209466,0.0,0.003308876420658898,0.0,0.00011509135376204863
Caroline County,34249,136,0,122,0,14,0.003970918858944786,0.0,0.0035621477999357646,0.0,0.00040877105900902216
Botetourt County,34104,104,0,98,0,6,0.0030494956603330987,0.0,0.0028735632183908046,0.0,0.00017593244194229416
Pulaski County,33551,265,1,212,0,53,0.007898423295877918,2.9805370927841197e-05,0.006318738636702334,0.0,0.0015796846591755835
Accomack County,33534,130,1,119,0,11,0.0038766624917993676,2.982048070614898e-05,0.003548637204031729,0.0,0.00032802528776763884
Halifax County,33462,128,0,124,0,4,0.0038252345944653635,0.0,0.003705696013388321,0.0,0.00011953858107704261
Powhatan County,32671,49,1,47,0,2,0.0014998010467999142,3.060818462856968e-05,0.0014385846775427748,0.0,6.121636925713936e-05
Amherst County,31741,139,1,107,0,32,0.004379194102265209,3.1504993541476327e-05,0.0033710343089379665,0.0,0.0010081597933272424
Mecklenburg County,31026,141,0,139,0,2,0.004544575517308064,0.0,0.0044801134532327725,0.0,6.44620640752917e-05
Fredericksburg city,30758,127,4,115,0,12,0.0041290070875869694,0.00013004746732557382,0.0037388646856102476,0.0,0.0003901424019767215
Carroll County,29282,116,0,114,0,2,0.00396147804111741,0.0,0.003893176695580903,0.0,6.830134553650706e-05
Goochland County,29230,58,0,52,0,6,0.0019842627437564146,0.0,0.001778994184057475,0.0,0.00020526855969893944
King George County,29210,67,0,63,0,4,0.002293735022252653,0.0,0.002156795617939062,0.0,0.00013693940431359124
Smyth County,29087,111,2,106,3,2,0.0038161377935160036,6.875923952281088e-05,0.0036442396947089766,0.00010313885928421632,6.875923952281088e-05
Fluvanna County,29012,77,0,76,0,1,0.0026540741762029504,0.0,0.002619605680408107,0.0,3.446849579484351e-05
Dinwiddie County,28775,117,0,108,3,6,0.004066029539530842,0.0,0.0037532580364900087,0.00010425716768027802,0.00020851433536055603
New Kent County,28225,61,0,49,0,12,0.002161204605845881,0.0,0.0017360496014171833,0.0,0.00042515500442869795
Wythe County,28029,143,0,141,0,2,0.005101858789111278,0.0,0.005030504120732099,0.0,7.135466837917871e-05
Winchester city,27846,143,1,124,0,19,0.005135387488328665,3.591180061768297e-05,0.004453063276592688,0.0,0.0006823242117359764
Fairfax city,27254,146,3,34,0,112,0.005357011814779482,0.00011007558523519484,0.001247523299332208,0.0,0.004109488515447274
Staunton city,26786,172,5,124,3,45,0.006421264839841709,0.00018666467557679385,0.0046292839543044875,0.0001119988053460763,0.0016799820801911445
Salem city,26147,195,0,164,0,31,0.007457834550808888,0.0,0.006272230083757219,0.0,0.0011856044670516693
Russell County,25338,99,0,95,0,4,0.003907174994080038,0.0,0.003749309337753572,0.0,0.00015786565632646616
Waynesboro city,23913,117,1,110,0,7,0.004892736168611215,4.181825785137791e-05,0.00460000836365157,0.0,0.0002927278049596454
Page County,23690,81,0,76,0,5,0.0034191642043056142,0.0,0.003208104685521317,0.0,0.00021105951878429716
Hopewell city,23057,196,1,115,0,81,0.008500672247039945,4.3370776770611964e-05,0.004987639328620376,0.0,0.003513032918419569
Prince Edward County,22554,188,0,114,1,73,0.008335550234991575,0.0,0.005054535780792764,4.4338033164848805e-05,0.003236676421033963
Rockbridge County,22342,110,0,104,0,6,0.004923462536925969,0.0,0.004654910034911825,0.0,0.00026855250201414377
Greene County,22097,54,0,52,0,2,0.0024437706475992217,0.0,0.002353260623614065,0.0,9.051002398515636e-05
Lee County,21799,47,0,46,0,1,0.0021560622046882883,0.0,0.0021101885407587505,0.0,4.587366392953805e-05
Scott County,21332,100,0,74,0,26,0.004687792987061692,0.0,0.0034689668104256515,0.0,0.0012188261766360397
Westmoreland County,19552,65,1,65,0,0,0.003324468085106383,5.114566284779051e-05,0.003324468085106383,0.0,0.0
King William County,19429,50,1,49,0,1,0.0025734726439857946,5.146945287971589e-05,0.0025220031911060785,0.0,5.146945287971589e-05
Colonial Heights city,18902,73,1,69,0,4,0.003862025182520368,5.290445455507354e-05,0.003650407364300074,0.0,0.00021161781822029416
Buchanan County,18286,60,0,58,0,2,0.0032811987312698237,0.0,0.0031718254402274965,0.0,0.00010937329104232747
Southampton County,17882,85,0,80,0,5,0.0047533832904596805,0.0,0.004473772508667934,0.0,0.0002796107817917459
